expert,subpanel,item,item_name,criterion,score
E01,A,D1,Risk Tolerance,Clarity,5
E01,A,D1,Risk Tolerance,Relevance,4
E01,A,D1,Risk Tolerance,Independence,5
E01,A,D1,Risk Tolerance,Operationalizability,5
E02,A,D1,Risk Tolerance,Clarity,5
E02,A,D1,Risk Tolerance,Relevance,5
E02,A,D1,Risk Tolerance,Independence,4
E02,A,D1,Risk Tolerance,Operationalizability,4
E03,A,D1,Risk Tolerance,Clarity,5
E03,A,D1,Risk Tolerance,Relevance,5
E03,A,D1,Risk Tolerance,Independence,4
E03,A,D1,Risk Tolerance,Operationalizability,4
E04,A,D1,Risk Tolerance,Clarity,4
E04,A,D1,Risk Tolerance,Relevance,5
E04,A,D1,Risk Tolerance,Independence,5
E04,A,D1,Risk Tolerance,Operationalizability,4
E05,A,D1,Risk Tolerance,Clarity,5
E05,A,D1,Risk Tolerance,Relevance,4
E05,A,D1,Risk Tolerance,Independence,5
E05,A,D1,Risk Tolerance,Operationalizability,4
E06,A,D1,Risk Tolerance,Clarity,5
E06,A,D1,Risk Tolerance,Relevance,5
E06,A,D1,Risk Tolerance,Independence,3
E06,A,D1,Risk Tolerance,Operationalizability,5
E07,B,D1,Risk Tolerance,Clarity,5
E07,B,D1,Risk Tolerance,Relevance,4
E07,B,D1,Risk Tolerance,Independence,4
E07,B,D1,Risk Tolerance,Operationalizability,5
E08,B,D1,Risk Tolerance,Clarity,4
E08,B,D1,Risk Tolerance,Relevance,4
E08,B,D1,Risk Tolerance,Independence,4
E08,B,D1,Risk Tolerance,Operationalizability,5
E09,B,D1,Risk Tolerance,Clarity,4
E09,B,D1,Risk Tolerance,Relevance,5
E09,B,D1,Risk Tolerance,Independence,5
E09,B,D1,Risk Tolerance,Operationalizability,5
E10,B,D1,Risk Tolerance,Clarity,4
E10,B,D1,Risk Tolerance,Relevance,4
E10,B,D1,Risk Tolerance,Independence,4
E10,B,D1,Risk Tolerance,Operationalizability,4
E11,B,D1,Risk Tolerance,Clarity,5
E11,B,D1,Risk Tolerance,Relevance,5
E11,B,D1,Risk Tolerance,Independence,5
E11,B,D1,Risk Tolerance,Operationalizability,4
E12,B,D1,Risk Tolerance,Clarity,5
E12,B,D1,Risk Tolerance,Relevance,5
E12,B,D1,Risk Tolerance,Independence,4
E12,B,D1,Risk Tolerance,Operationalizability,5
E01,A,D5,Loss Aversion,Clarity,5
E01,A,D5,Loss Aversion,Relevance,5
E01,A,D5,Loss Aversion,Independence,4
E01,A,D5,Loss Aversion,Operationalizability,4
E02,A,D5,Loss Aversion,Clarity,3
E02,A,D5,Loss Aversion,Relevance,5
E02,A,D5,Loss Aversion,Independence,3
E02,A,D5,Loss Aversion,Operationalizability,4
E03,A,D5,Loss Aversion,Clarity,5
E03,A,D5,Loss Aversion,Relevance,4
E03,A,D5,Loss Aversion,Independence,4
E03,A,D5,Loss Aversion,Operationalizability,5
E04,A,D5,Loss Aversion,Clarity,5
E04,A,D5,Loss Aversion,Relevance,4
E04,A,D5,Loss Aversion,Independence,4
E04,A,D5,Loss Aversion,Operationalizability,4
E05,A,D5,Loss Aversion,Clarity,4
E05,A,D5,Loss Aversion,Relevance,5
E05,A,D5,Loss Aversion,Independence,4
E05,A,D5,Loss Aversion,Operationalizability,4
E06,A,D5,Loss Aversion,Clarity,5
E06,A,D5,Loss Aversion,Relevance,5
E06,A,D5,Loss Aversion,Independence,4
E06,A,D5,Loss Aversion,Operationalizability,4
E07,B,D5,Loss Aversion,Clarity,5
E07,B,D5,Loss Aversion,Relevance,5
E07,B,D5,Loss Aversion,Independence,4
E07,B,D5,Loss Aversion,Operationalizability,5
E08,B,D5,Loss Aversion,Clarity,4
E08,B,D5,Loss Aversion,Relevance,5
E08,B,D5,Loss Aversion,Independence,4
E08,B,D5,Loss Aversion,Operationalizability,5
E09,B,D5,Loss Aversion,Clarity,5
E09,B,D5,Loss Aversion,Relevance,5
E09,B,D5,Loss Aversion,Independence,5
E09,B,D5,Loss Aversion,Operationalizability,4
E10,B,D5,Loss Aversion,Clarity,5
E10,B,D5,Loss Aversion,Relevance,5
E10,B,D5,Loss Aversion,Independence,4
E10,B,D5,Loss Aversion,Operationalizability,5
E11,B,D5,Loss Aversion,Clarity,5
E11,B,D5,Loss Aversion,Relevance,5
E11,B,D5,Loss Aversion,Independence,5
E11,B,D5,Loss Aversion,Operationalizability,4
E12,B,D5,Loss Aversion,Clarity,4
E12,B,D5,Loss Aversion,Relevance,5
E12,B,D5,Loss Aversion,Independence,4
E12,B,D5,Loss Aversion,Operationalizability,5
E01,A,D4,Financial Self-efficacy,Clarity,5
E01,A,D4,Financial Self-efficacy,Relevance,5
E01,A,D4,Financial Self-efficacy,Independence,4
E01,A,D4,Financial Self-efficacy,Operationalizability,4
E02,A,D4,Financial Self-efficacy,Clarity,4
E02,A,D4,Financial Self-efficacy,Relevance,4
E02,A,D4,Financial Self-efficacy,Independence,4
E02,A,D4,Financial Self-efficacy,Operationalizability,3
E03,A,D4,Financial Self-efficacy,Clarity,5
E03,A,D4,Financial Self-efficacy,Relevance,5
E03,A,D4,Financial Self-efficacy,Independence,4
E03,A,D4,Financial Self-efficacy,Operationalizability,5
E04,A,D4,Financial Self-efficacy,Clarity,4
E04,A,D4,Financial Self-efficacy,Relevance,5
E04,A,D4,Financial Self-efficacy,Independence,4
E04,A,D4,Financial Self-efficacy,Operationalizability,4
E05,A,D4,Financial Self-efficacy,Clarity,4
E05,A,D4,Financial Self-efficacy,Relevance,5
E05,A,D4,Financial Self-efficacy,Independence,4
E05,A,D4,Financial Self-efficacy,Operationalizability,4
E06,A,D4,Financial Self-efficacy,Clarity,4
E06,A,D4,Financial Self-efficacy,Relevance,5
E06,A,D4,Financial Self-efficacy,Independence,5
E06,A,D4,Financial Self-efficacy,Operationalizability,4
E07,B,D4,Financial Self-efficacy,Clarity,5
E07,B,D4,Financial Self-efficacy,Relevance,5
E07,B,D4,Financial Self-efficacy,Independence,4
E07,B,D4,Financial Self-efficacy,Operationalizability,5
E08,B,D4,Financial Self-efficacy,Clarity,5
E08,B,D4,Financial Self-efficacy,Relevance,5
E08,B,D4,Financial Self-efficacy,Independence,4
E08,B,D4,Financial Self-efficacy,Operationalizability,5
E09,B,D4,Financial Self-efficacy,Clarity,4
E09,B,D4,Financial Self-efficacy,Relevance,4
E09,B,D4,Financial Self-efficacy,Independence,5
E09,B,D4,Financial Self-efficacy,Operationalizability,4
E10,B,D4,Financial Self-efficacy,Clarity,4
E10,B,D4,Financial Self-efficacy,Relevance,5
E10,B,D4,Financial Self-efficacy,Independence,4
E10,B,D4,Financial Self-efficacy,Operationalizability,5
E11,B,D4,Financial Self-efficacy,Clarity,5
E11,B,D4,Financial Self-efficacy,Relevance,4
E11,B,D4,Financial Self-efficacy,Independence,5
E11,B,D4,Financial Self-efficacy,Operationalizability,4
E12,B,D4,Financial Self-efficacy,Clarity,5
E12,B,D4,Financial Self-efficacy,Relevance,5
E12,B,D4,Financial Self-efficacy,Independence,4
E12,B,D4,Financial Self-efficacy,Operationalizability,4
E01,A,D10,Ambiguity Tolerance,Clarity,4
E01,A,D10,Ambiguity Tolerance,Relevance,5
E01,A,D10,Ambiguity Tolerance,Independence,4
E01,A,D10,Ambiguity Tolerance,Operationalizability,4
E02,A,D10,Ambiguity Tolerance,Clarity,4
E02,A,D10,Ambiguity Tolerance,Relevance,5
E02,A,D10,Ambiguity Tolerance,Independence,4
E02,A,D10,Ambiguity Tolerance,Operationalizability,4
E03,A,D10,Ambiguity Tolerance,Clarity,4
E03,A,D10,Ambiguity Tolerance,Relevance,5
E03,A,D10,Ambiguity Tolerance,Independence,4
E03,A,D10,Ambiguity Tolerance,Operationalizability,4
E04,A,D10,Ambiguity Tolerance,Clarity,5
E04,A,D10,Ambiguity Tolerance,Relevance,5
E04,A,D10,Ambiguity Tolerance,Independence,3
E04,A,D10,Ambiguity Tolerance,Operationalizability,4
E05,A,D10,Ambiguity Tolerance,Clarity,4
E05,A,D10,Ambiguity Tolerance,Relevance,4
E05,A,D10,Ambiguity Tolerance,Independence,3
E05,A,D10,Ambiguity Tolerance,Operationalizability,3
E06,A,D10,Ambiguity Tolerance,Clarity,4
E06,A,D10,Ambiguity Tolerance,Relevance,4
E06,A,D10,Ambiguity Tolerance,Independence,4
E06,A,D10,Ambiguity Tolerance,Operationalizability,4
E07,B,D10,Ambiguity Tolerance,Clarity,5
E07,B,D10,Ambiguity Tolerance,Relevance,5
E07,B,D10,Ambiguity Tolerance,Independence,4
E07,B,D10,Ambiguity Tolerance,Operationalizability,4
E08,B,D10,Ambiguity Tolerance,Clarity,5
E08,B,D10,Ambiguity Tolerance,Relevance,4
E08,B,D10,Ambiguity Tolerance,Independence,5
E08,B,D10,Ambiguity Tolerance,Operationalizability,5
E09,B,D10,Ambiguity Tolerance,Clarity,4
E09,B,D10,Ambiguity Tolerance,Relevance,5
E09,B,D10,Ambiguity Tolerance,Independence,4
E09,B,D10,Ambiguity Tolerance,Operationalizability,4
E10,B,D10,Ambiguity Tolerance,Clarity,5
E10,B,D10,Ambiguity Tolerance,Relevance,3
E10,B,D10,Ambiguity Tolerance,Independence,4
E10,B,D10,Ambiguity Tolerance,Operationalizability,4
E11,B,D10,Ambiguity Tolerance,Clarity,5
E11,B,D10,Ambiguity Tolerance,Relevance,5
E11,B,D10,Ambiguity Tolerance,Independence,3
E11,B,D10,Ambiguity Tolerance,Operationalizability,5
E12,B,D10,Ambiguity Tolerance,Clarity,4
E12,B,D10,Ambiguity Tolerance,Relevance,5
E12,B,D10,Ambiguity Tolerance,Independence,3
E12,B,D10,Ambiguity Tolerance,Operationalizability,5
E01,A,D8,Time Horizon,Clarity,5
E01,A,D8,Time Horizon,Relevance,5
E01,A,D8,Time Horizon,Independence,4
E01,A,D8,Time Horizon,Operationalizability,4
E02,A,D8,Time Horizon,Clarity,5
E02,A,D8,Time Horizon,Relevance,5
E02,A,D8,Time Horizon,Independence,4
E02,A,D8,Time Horizon,Operationalizability,5
E03,A,D8,Time Horizon,Clarity,5
E03,A,D8,Time Horizon,Relevance,5
E03,A,D8,Time Horizon,Independence,5
E03,A,D8,Time Horizon,Operationalizability,4
E04,A,D8,Time Horizon,Clarity,5
E04,A,D8,Time Horizon,Relevance,5
E04,A,D8,Time Horizon,Independence,5
E04,A,D8,Time Horizon,Operationalizability,3
E05,A,D8,Time Horizon,Clarity,4
E05,A,D8,Time Horizon,Relevance,4
E05,A,D8,Time Horizon,Independence,5
E05,A,D8,Time Horizon,Operationalizability,5
E06,A,D8,Time Horizon,Clarity,5
E06,A,D8,Time Horizon,Relevance,4
E06,A,D8,Time Horizon,Independence,5
E06,A,D8,Time Horizon,Operationalizability,4
E07,B,D8,Time Horizon,Clarity,4
E07,B,D8,Time Horizon,Relevance,4
E07,B,D8,Time Horizon,Independence,4
E07,B,D8,Time Horizon,Operationalizability,5
E08,B,D8,Time Horizon,Clarity,4
E08,B,D8,Time Horizon,Relevance,4
E08,B,D8,Time Horizon,Independence,5
E08,B,D8,Time Horizon,Operationalizability,5
E09,B,D8,Time Horizon,Clarity,5
E09,B,D8,Time Horizon,Relevance,4
E09,B,D8,Time Horizon,Independence,5
E09,B,D8,Time Horizon,Operationalizability,5
E10,B,D8,Time Horizon,Clarity,5
E10,B,D8,Time Horizon,Relevance,4
E10,B,D8,Time Horizon,Independence,5
E10,B,D8,Time Horizon,Operationalizability,4
E11,B,D8,Time Horizon,Clarity,5
E11,B,D8,Time Horizon,Relevance,5
E11,B,D8,Time Horizon,Independence,5
E11,B,D8,Time Horizon,Operationalizability,5
E12,B,D8,Time Horizon,Clarity,5
E12,B,D8,Time Horizon,Relevance,5
E12,B,D8,Time Horizon,Independence,4
E12,B,D8,Time Horizon,Operationalizability,5
E01,A,D7,Emotional Regulation,Clarity,5
E01,A,D7,Emotional Regulation,Relevance,5
E01,A,D7,Emotional Regulation,Independence,5
E01,A,D7,Emotional Regulation,Operationalizability,4
E02,A,D7,Emotional Regulation,Clarity,4
E02,A,D7,Emotional Regulation,Relevance,5
E02,A,D7,Emotional Regulation,Independence,5
E02,A,D7,Emotional Regulation,Operationalizability,3
E03,A,D7,Emotional Regulation,Clarity,4
E03,A,D7,Emotional Regulation,Relevance,5
E03,A,D7,Emotional Regulation,Independence,4
E03,A,D7,Emotional Regulation,Operationalizability,5
E04,A,D7,Emotional Regulation,Clarity,4
E04,A,D7,Emotional Regulation,Relevance,5
E04,A,D7,Emotional Regulation,Independence,4
E04,A,D7,Emotional Regulation,Operationalizability,5
E05,A,D7,Emotional Regulation,Clarity,5
E05,A,D7,Emotional Regulation,Relevance,5
E05,A,D7,Emotional Regulation,Independence,5
E05,A,D7,Emotional Regulation,Operationalizability,4
E06,A,D7,Emotional Regulation,Clarity,5
E06,A,D7,Emotional Regulation,Relevance,4
E06,A,D7,Emotional Regulation,Independence,4
E06,A,D7,Emotional Regulation,Operationalizability,4
E07,B,D7,Emotional Regulation,Clarity,4
E07,B,D7,Emotional Regulation,Relevance,5
E07,B,D7,Emotional Regulation,Independence,3
E07,B,D7,Emotional Regulation,Operationalizability,5
E08,B,D7,Emotional Regulation,Clarity,4
E08,B,D7,Emotional Regulation,Relevance,4
E08,B,D7,Emotional Regulation,Independence,4
E08,B,D7,Emotional Regulation,Operationalizability,4
E09,B,D7,Emotional Regulation,Clarity,3
E09,B,D7,Emotional Regulation,Relevance,4
E09,B,D7,Emotional Regulation,Independence,5
E09,B,D7,Emotional Regulation,Operationalizability,5
E10,B,D7,Emotional Regulation,Clarity,5
E10,B,D7,Emotional Regulation,Relevance,4
E10,B,D7,Emotional Regulation,Independence,5
E10,B,D7,Emotional Regulation,Operationalizability,4
E11,B,D7,Emotional Regulation,Clarity,4
E11,B,D7,Emotional Regulation,Relevance,4
E11,B,D7,Emotional Regulation,Independence,4
E11,B,D7,Emotional Regulation,Operationalizability,4
E12,B,D7,Emotional Regulation,Clarity,3
E12,B,D7,Emotional Regulation,Relevance,4
E12,B,D7,Emotional Regulation,Independence,4
E12,B,D7,Emotional Regulation,Operationalizability,3
E01,A,D12,Social Influence,Clarity,5
E01,A,D12,Social Influence,Relevance,4
E01,A,D12,Social Influence,Independence,4
E01,A,D12,Social Influence,Operationalizability,5
E02,A,D12,Social Influence,Clarity,4
E02,A,D12,Social Influence,Relevance,4
E02,A,D12,Social Influence,Independence,4
E02,A,D12,Social Influence,Operationalizability,4
E03,A,D12,Social Influence,Clarity,3
E03,A,D12,Social Influence,Relevance,4
E03,A,D12,Social Influence,Independence,4
E03,A,D12,Social Influence,Operationalizability,4
E04,A,D12,Social Influence,Clarity,3
E04,A,D12,Social Influence,Relevance,4
E04,A,D12,Social Influence,Independence,4
E04,A,D12,Social Influence,Operationalizability,4
E05,A,D12,Social Influence,Clarity,4
E05,A,D12,Social Influence,Relevance,4
E05,A,D12,Social Influence,Independence,4
E05,A,D12,Social Influence,Operationalizability,5
E06,A,D12,Social Influence,Clarity,4
E06,A,D12,Social Influence,Relevance,4
E06,A,D12,Social Influence,Independence,3
E06,A,D12,Social Influence,Operationalizability,4
E07,B,D12,Social Influence,Clarity,3
E07,B,D12,Social Influence,Relevance,4
E07,B,D12,Social Influence,Independence,4
E07,B,D12,Social Influence,Operationalizability,4
E08,B,D12,Social Influence,Clarity,4
E08,B,D12,Social Influence,Relevance,4
E08,B,D12,Social Influence,Independence,3
E08,B,D12,Social Influence,Operationalizability,4
E09,B,D12,Social Influence,Clarity,5
E09,B,D12,Social Influence,Relevance,4
E09,B,D12,Social Influence,Independence,4
E09,B,D12,Social Influence,Operationalizability,5
E10,B,D12,Social Influence,Clarity,5
E10,B,D12,Social Influence,Relevance,5
E10,B,D12,Social Influence,Independence,3
E10,B,D12,Social Influence,Operationalizability,3
E11,B,D12,Social Influence,Clarity,4
E11,B,D12,Social Influence,Relevance,4
E11,B,D12,Social Influence,Independence,4
E11,B,D12,Social Influence,Operationalizability,4
E12,B,D12,Social Influence,Clarity,4
E12,B,D12,Social Influence,Relevance,3
E12,B,D12,Social Influence,Independence,4
E12,B,D12,Social Influence,Operationalizability,5
